config,n_trials,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms_median,detection_latency_ms_iqr,detection_latency_ms_min,detection_latency_ms_max,downtime_ms_median,downtime_ms_iqr,downtime_ms_min,downtime_ms_max,write_latency_median_us_median,write_latency_median_us_iqr,write_latency_median_us_min,write_latency_median_us_max,write_latency_p95_us_median,write_latency_p95_us_iqr,write_latency_p95_us_min,write_latency_p95_us_max,throughput_ops_sec_median,throughput_ops_sec_iqr,throughput_ops_sec_min,throughput_ops_sec_max,false_positives_median,false_positives_iqr,false_positives_min,false_positives_max,repl_skipped_count_median,repl_skipped_count_iqr,repl_skipped_count_min,repl_skipped_count_max,stale_read_count_median,stale_read_count_iqr,stale_read_count_min,stale_read_count_max,stale_read_rate_median,stale_read_rate_iqr,stale_read_rate_min,stale_read_rate_max,hot_key_latency_median_us_median,hot_key_latency_median_us_iqr,hot_key_latency_median_us_min,hot_key_latency_median_us_max,cold_key_latency_median_us_median,cold_key_latency_median_us_iqr,cold_key_latency_median_us_min,cold_key_latency_median_us_max,missed,fd_algo,phi_threshold,workload_zipf_alpha
delay_fast_sync,5,50,150,sync,delay,140.0,12.0,128.0,146.0,4.0,7.0,0.0,8.0,154.0,4.5,152.0,163.5,381.04999999999995,9.049999999999955,376.0,452.04999999999995,78.09449433814916,0.21292975011544968,77.66990291262137,78.28810020876827,0.0,0.0,0.0,0.0,167.0,3.0,163.0,175.0,242.0,24.0,234.0,271.0,0.8013245033112583,0.07894736842105265,0.7878787878787878,0.8827361563517915,155.0,19.5,149.0,171.5,155.0,4.0,152.0,163.0,3.0,fixed,8.0,0.0
delay_slow_async,5,200,600,async,delay,444.0,21.0,422.0,488.0,10.0,9.0,1.0,12.0,163.0,9.0,140.5,189.0,304.0999999999999,62.0,202.14999999999986,349.3499999999997,82.81573498964804,0.1029761990348419,82.59911894273128,83.56545961002786,0.0,0.0,0.0,0.0,158.0,15.0,140.0,161.0,258.0,13.0,232.0,277.0,0.8087774294670846,0.04219530949634753,0.7987616099071208,0.9081967213114754,166.0,12.5,133.0,196.5,162.5,8.5,141.0,189.0,3.0,fixed,8.0,0.0
fd_fast_async_repl,5,50,150,async,crash,125.0,24.0,109.0,152.0,3.0,1.0,2.0,8.0,169.0,15.0,158.5,180.0,266.14999999999986,21.0,252.0999999999999,431.9999999999982,83.47245409015025,0.4967922241618936,81.67710318540702,83.65867261572784,0.0,0.0,0.0,0.0,166.0,13.0,160.0,184.0,249.0,9.0,234.0,262.0,0.8440677966101695,0.01585133577264297,0.8143322475570033,0.8562091503267973,158.5,16.5,154.0,179.0,169.0,15.0,159.5,180.0,3.0,fixed,8.0,0.0
fd_fast_no_repl,5,50,150,none,crash,123.0,11.0,115.0,138.0,4.0,4.0,0.0,6.0,146.5,12.0,140.0,164.0,253.24999999999977,10.149999999999864,218.0,280.04999999999995,83.32176086654631,0.5078523202387544,82.9531314807134,83.49568605622044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,9.0,226.0,272.0,0.8239202657807309,0.024689569536423872,0.7929824561403509,0.8802588996763754,142.0,25.0,131.0,165.0,148.0,11.0,140.0,164.0,3.0,fixed,8.0,0.0
fd_fast_sync_repl,5,50,150,sync,crash,121.0,12.0,111.0,128.0,8.0,1.0,5.0,9.0,178.0,4.5,167.5,188.5,407.04999999999995,11.950000000000045,388.0999999999999,420.04999999999995,83.61204013377926,0.33870033207816164,83.43763037129746,84.24599831508003,0.0,0.0,0.0,0.0,167.0,9.0,158.0,176.0,246.0,4.0,236.0,255.0,0.8280701754385965,0.011001219937260331,0.7477203647416414,0.8424657534246576,178.0,16.5,163.0,191.0,177.0,4.0,168.0,187.0,3.0,fixed,8.0,0.0
fd_mixed_i200_t150_async_repl,5,200,150,async,crash,,,,,4.0,4.0,1.0,10.0,184.0,5.0,159.0,220.0,322.04999999999995,24.0,314.0999999999999,362.0,82.87292817679558,0.6681482662474139,82.78145695364238,83.69368112707491,1.0,0.0,1.0,1.0,207.0,16.0,205.0,225.0,252.0,7.0,242.0,260.0,0.8551236749116607,0.0452380952380953,0.8102893890675241,0.8692579505300353,180.0,23.0,148.0,215.0,185.0,3.0,160.0,221.0,0.75,fixed,8.0,0.0
fd_mixed_i200_t150_no_repl,5,200,150,none,crash,,,,,4.0,3.0,2.0,10.0,175.0,19.0,154.0,208.0,295.1999999999998,43.950000000000045,237.04999999999995,345.04999999999995,83.35648791330925,0.19662296586312777,83.1831415499792,83.48406845693613,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,250.0,19.0,207.0,263.0,0.8210526315789474,0.014061711787455855,0.7811320754716982,0.8270440251572327,172.0,12.0,162.5,209.0,176.0,19.5,154.0,207.0,0.75,fixed,8.0,0.0
fd_mixed_i200_t150_sync_repl,5,200,150,sync,crash,,,,,2.0,4.0,0.0,8.0,174.0,15.5,172.5,194.0,433.2499999999998,42.0,383.0,482.04999999999995,83.29862557267805,0.49734418206774933,82.99903167796376,83.65867261572784,1.0,0.0,1.0,1.0,218.0,11.0,207.0,246.0,245.0,3.0,209.0,259.0,0.8419243986254296,0.04819366301451,0.7886792452830189,0.8673835125448028,169.0,15.0,167.0,189.0,176.0,13.0,173.0,194.0,0.75,fixed,8.0,0.0
fd_mixed_i50_t600_async_repl,5,50,600,async,crash,564.0,10.0,560.0,599.0,7.0,5.0,1.0,12.0,184.0,36.0,163.0,223.0,337.04999999999995,19.850000000000136,316.14999999999986,360.49999999999955,83.02200083022001,0.11478228431094806,82.91873963515755,83.32176086654631,0.0,0.0,0.0,0.0,150.0,4.0,145.0,164.0,252.0,5.0,237.0,256.0,0.8229508196721311,0.027581672203765284,0.8076923076923077,0.8827586206896552,178.0,45.0,170.0,226.0,185.0,35.5,163.0,223.0,12.0,fixed,8.0,0.0
fd_mixed_i50_t600_no_repl,5,50,600,none,crash,573.0,14.0,550.0,587.0,7.0,7.0,1.0,10.0,171.0,19.0,149.0,193.0,290.0,9.099999999999909,259.3499999999997,320.14999999999986,82.91873963515755,0.21817713311494913,82.74720728175424,83.31019161344071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,16.0,233.0,273.0,0.8099688473520249,0.055042290175666864,0.7922077922077922,0.8685121107266436,156.5,13.0,146.0,203.5,172.0,20.0,149.5,193.0,12.0,fixed,8.0,0.0
fd_mixed_i50_t600_sync_repl,5,50,600,sync,crash,567.0,12.0,559.0,577.0,6.0,3.0,2.0,8.0,191.0,38.5,176.5,241.0,471.3499999999997,54.950000000000045,424.59999999999945,498.2999999999997,83.12551953449709,0.323176958775548,83.01051466519093,83.56545961002786,0.0,0.0,0.0,0.0,148.0,14.0,145.0,164.0,253.0,10.0,236.0,265.0,0.8294314381270903,0.03647854529326977,0.7840531561461794,0.8493589743589743,189.0,52.0,156.0,244.0,192.0,41.0,178.0,240.5,12.0,fixed,8.0,0.0
fd_slow_async_repl,5,200,600,async,crash,426.0,17.0,408.0,438.0,2.0,3.0,0.0,8.0,179.5,8.0,156.0,193.0,272.1999999999998,36.049999999999955,247.04999999999995,333.0,83.49568605622044,0.47553106574864046,82.90728202293768,83.86916410399776,0.0,0.0,0.0,0.0,154.0,5.0,150.0,166.0,257.0,15.0,236.0,268.0,0.8412698412698413,0.04074021621111268,0.8056426332288401,0.8562300319488818,173.0,13.0,157.0,184.0,179.0,9.0,156.0,194.0,3.0,fixed,8.0,0.0
fd_slow_no_repl,5,200,600,none,crash,436.0,7.0,420.0,458.0,9.0,2.0,1.0,11.0,155.5,43.0,141.0,192.0,281.0999999999999,92.0,209.0,375.14999999999986,83.22929671244279,0.3587481310379701,83.05647840531562,83.86916410399776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,27.0,232.0,270.0,0.8033333333333333,0.028859819288981958,0.7912457912457912,0.8646864686468647,153.0,28.5,147.0,178.0,156.0,43.0,140.0,194.5,3.0,fixed,8.0,0.0
fd_slow_sync_repl,5,200,600,sync,crash,452.0,21.0,417.0,471.0,6.0,4.0,1.0,10.0,180.0,50.0,167.0,225.0,436.0999999999999,24.09999999999991,419.04999999999995,505.14999999999986,83.58874338255782,0.12815005952570857,83.37965536409116,83.79888268156425,0.0,0.0,0.0,0.0,161.0,11.0,145.0,165.0,253.0,10.0,238.0,265.0,0.8322368421052632,0.042502527238009735,0.793939393939394,0.865979381443299,184.0,49.0,174.0,229.0,180.0,48.0,165.0,223.0,3.0,fixed,8.0,0.0
phi_delay_fast_sync,5,50,150,sync,delay,58.0,28.0,24.0,76.0,11.0,510.0,0.0,518.0,192.0,10.0,190.0,205.0,454.0999999999999,23.049999999999955,430.04999999999995,460.04999999999995,78.19627264433728,0.40574068291330434,77.63975155279503,83.36807002917882,0.0,0.0,0.0,0.0,164.0,7.0,163.0,170.0,252.0,10.0,238.0,271.0,0.8338461538461538,0.004994537224910278,0.7906976744186046,0.8376623376623377,193.0,2.0,187.0,209.0,192.0,12.0,189.0,207.0,3.0,phi,8.0,0.0
phi_delay_slow_async,5,200,600,async,delay,442.0,16.0,419.0,463.0,7.0,5.0,1.0,11.0,182.0,5.0,166.0,186.0,281.2999999999997,12.099999999999909,277.04999999999995,296.1999999999998,83.05647840531562,0.12627799066461876,82.41758241758241,83.22929671244279,0.0,0.0,0.0,0.0,169.0,16.0,150.0,173.0,243.0,18.0,239.0,273.0,0.8461538461538461,0.01717915946169457,0.8227848101265823,0.8639240506329114,185.5,20.0,166.0,196.0,183.0,4.0,166.0,184.5,3.0,phi,8.0,0.0
phi_fast_async_repl,5,50,150,async,crash,29.0,8.0,29.0,38.0,2.0,1.0,0.0,10.0,180.5,16.0,167.0,196.0,285.3499999999997,40.90000000000009,262.0999999999999,315.0999999999999,83.42602892102336,0.11586950475114577,82.89582757667864,83.70535714285714,0.0,0.0,0.0,0.0,173.0,10.0,154.0,186.0,249.0,23.0,223.0,269.0,0.823728813559322,0.08274730426629162,0.7663230240549829,0.8866666666666667,178.0,23.0,168.0,214.5,181.0,15.0,167.0,195.0,3.0,phi,8.0,0.0
phi_fast_no_repl,5,50,150,none,crash,41.0,18.0,22.0,66.0,6.0,6.0,0.0,11.0,167.0,2.5,163.0,178.0,253.0999999999999,9.0,243.04999999999995,264.04999999999995,83.76378612313276,0.09344725826035472,83.14855875831485,84.01008120974517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,18.0,241.0,275.0,0.8517350157728707,0.013001638001638005,0.7774193548387097,0.870253164556962,169.5,8.0,162.5,183.0,168.0,2.5,162.5,177.0,3.0,phi,8.0,0.0
phi_fast_sync_repl,5,50,150,sync,crash,33.0,14.5,23.0,57.0,10.0,3.0,2.0,12.0,190.0,10.0,175.0,222.0,468.0,149.84999999999923,405.04999999999995,621.5999999999995,82.930200414651,0.4811572703016225,81.81074447777475,83.84572386808273,0.0,0.0,0.0,0.0,187.0,10.0,179.0,194.0,245.0,8.0,229.0,249.0,0.8266666666666667,0.024759658987846822,0.8006993006993007,0.8596491228070176,177.5,22.5,165.5,232.5,190.0,11.0,174.5,222.0,3.0,phi,8.0,0.0
phi_slow_no_repl,5,200,600,none,crash,438.0,14.0,407.0,446.0,2.0,1.0,0.0,3.0,164.5,8.0,156.5,178.0,276.04999999999995,26.049999999999955,249.0,289.04999999999995,83.43763037129746,0.15056762837686222,83.12551953449709,83.53055826256438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,25.0,238.0,275.0,0.8566978193146417,0.01867421471149122,0.8278145695364238,0.8785942492012779,160.0,1.5,154.5,167.0,165.0,8.0,156.0,178.5,3.0,phi,8.0,0.0
zipf_fast_async,5,50,150,async,crash,138.0,43.0,93.0,157.0,0.0,1.0,0.0,4.0,131.0,7.0,122.0,143.0,259.0499999999997,38.0,217.04999999999973,276.0,332.08800332088003,1.5593210738975358,330.80634045485874,333.75052148518984,0.0,0.0,0.0,0.0,686.0,3.0,663.0,691.0,923.0,22.0,910.0,959.0,0.7752255947497949,0.0034641045365189083,0.7647058823529411,0.7841373671300081,132.0,5.0,122.0,143.0,130.0,8.5,122.0,143.0,3.0,fixed,8.0,0.99
zipf_fast_sync,5,50,150,sync,crash,112.0,13.0,104.0,144.0,2.0,1.0,0.0,3.0,146.0,13.0,121.0,200.0,419.09999999999945,67.0,391.0,631.0499999999997,333.1482509716824,1.9337031783653629,321.02728731942216,333.98274422488174,0.0,0.0,0.0,0.0,669.0,20.0,635.0,782.0,948.0,7.0,940.0,967.0,0.7744052502050861,0.009616731640474052,0.763855421686747,0.7813798836242727,147.0,13.0,122.5,200.0,145.0,13.0,120.0,199.5,3.0,fixed,8.0,0.99
zipf_phi_async,5,50,150,async,crash,48.0,13.0,41.0,84.0,2.0,5.0,0.0,8.0,128.0,4.0,127.0,132.0,226.04999999999973,12.0,216.0,285.0499999999997,331.26293995859214,0.2285833410289797,330.80634045485874,332.5942350332594,0.0,0.0,0.0,0.0,691.0,14.0,679.0,699.0,931.0,16.0,909.0,945.0,0.7827903091060986,0.02667869997920025,0.7606694560669456,0.7961246840775064,129.0,5.0,126.0,132.0,128.0,3.5,125.0,130.0,3.0,phi,8.0,0.99
