hb_timeout_ms,hb_interval_ms,repl_mode,median_detection_ms,iqr_detection_ms,n_trials,fault_type,fd_algo,config,workload_zipf_alpha
150,50,sync,125.0,21.0,5,delay,fixed,delay_fast_sync,0.0
150,50,async,116.0,22.0,5,crash,fixed,fd_fast_async_repl,0.0
150,50,none,121.0,10.0,5,crash,fixed,fd_fast_no_repl,0.0
150,50,sync,122.0,2.0,5,crash,fixed,fd_fast_sync_repl,0.0
150,50,sync,62.0,4.0,5,delay,phi,phi_delay_fast_sync,0.0
150,50,async,43.0,46.0,5,crash,phi,phi_fast_async_repl,0.0
150,50,none,47.0,15.0,5,crash,phi,phi_fast_no_repl,0.0
150,50,sync,42.0,74.0,5,crash,phi,phi_fast_sync_repl,0.0
150,50,async,129.0,3.0,5,crash,fixed,zipf_fast_async,0.99
150,50,sync,116.0,16.0,5,crash,fixed,zipf_fast_sync,0.99
150,50,async,28.0,25.0,5,crash,phi,zipf_phi_async,0.99
150,50,sync,38.0,14.0,5,crash,phi,zipf_phi_sync,0.99
600,200,async,443.0,16.0,5,delay,fixed,delay_slow_async,0.0
600,200,async,442.0,10.0,5,crash,fixed,fd_slow_async_repl,0.0
600,200,none,445.0,11.0,5,crash,fixed,fd_slow_no_repl,0.0
600,200,sync,451.0,2.0,5,crash,fixed,fd_slow_sync_repl,0.0
600,200,async,435.0,15.0,5,delay,phi,phi_delay_slow_async,0.0
600,200,none,532.0,26.0,5,crash,phi,phi_slow_no_repl,0.0
