missed,hb_interval_ms,hb_timeout_ms,repl_mode,median_detection_ms,iqr_detection_ms,n_trials,fault_type,fd_algo,config,workload_zipf_alpha
3.0,50,150,sync,140.0,12.0,5,delay,fixed,delay_fast_sync,0.0
3.0,200,600,async,444.0,21.0,5,delay,fixed,delay_slow_async,0.0
3.0,50,150,async,125.0,24.0,5,crash,fixed,fd_fast_async_repl,0.0
3.0,50,150,none,123.0,11.0,5,crash,fixed,fd_fast_no_repl,0.0
3.0,50,150,sync,121.0,12.0,5,crash,fixed,fd_fast_sync_repl,0.0
3.0,200,600,async,426.0,17.0,5,crash,fixed,fd_slow_async_repl,0.0
3.0,200,600,none,436.0,7.0,5,crash,fixed,fd_slow_no_repl,0.0
3.0,200,600,sync,452.0,21.0,5,crash,fixed,fd_slow_sync_repl,0.0
3.0,50,150,sync,58.0,28.0,5,delay,phi,phi_delay_fast_sync,0.0
3.0,200,600,async,442.0,16.0,5,delay,phi,phi_delay_slow_async,0.0
3.0,50,150,async,29.0,8.0,5,crash,phi,phi_fast_async_repl,0.0
3.0,50,150,none,41.0,18.0,5,crash,phi,phi_fast_no_repl,0.0
3.0,50,150,sync,33.0,14.5,5,crash,phi,phi_fast_sync_repl,0.0
3.0,200,600,none,438.0,14.0,5,crash,phi,phi_slow_no_repl,0.0
3.0,50,150,async,138.0,43.0,5,crash,fixed,zipf_fast_async,0.99
3.0,50,150,sync,112.0,13.0,5,crash,fixed,zipf_fast_sync,0.99
3.0,50,150,async,48.0,13.0,5,crash,phi,zipf_phi_async,0.99
3.0,50,150,sync,70.0,35.0,5,crash,phi,zipf_phi_sync,0.99
12.0,50,600,async,564.0,10.0,5,crash,fixed,fd_mixed_i50_t600_async_repl,0.0
12.0,50,600,none,573.0,14.0,5,crash,fixed,fd_mixed_i50_t600_no_repl,0.0
12.0,50,600,sync,567.0,12.0,5,crash,fixed,fd_mixed_i50_t600_sync_repl,0.0
