config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
delay_fast_sync,delay_fast_sync_t1_1776218016379,50,150,sync,delay,,3,189.5,436.0,497.0,0.0009540282047372004,1100,1100,0,0,0
delay_fast_sync,delay_fast_sync_t2_1776218038546,50,150,sync,delay,,8,188.5,435.0,519.04,0.0009540274170272468,1100,1100,0,0,0
delay_fast_sync,delay_fast_sync_t3_1776218060696,50,150,sync,delay,,0,198.0,430.0,524.1299999999999,0.0009540266384202621,1100,1100,0,0,0
delay_fast_sync,delay_fast_sync_t4_1776218082848,50,150,sync,delay,,7,189.5,434.04999999999995,485.03999999999996,0.0009540258258902052,1100,1100,0,0,0
delay_fast_sync,delay_fast_sync_t5_1776218105040,50,150,sync,delay,,0,198.0,456.04999999999995,541.04,0.0009540249794372491,1100,1100,0,0,0
delay_slow_async,delay_slow_async_t1_1776218127197,200,600,async,delay,,0,167.0,264.0,344.03,0.0009540241453970959,1100,1100,0,0,0
delay_slow_async,delay_slow_async_t2_1776218149402,200,600,async,delay,,0,157.0,256.04999999999995,334.0799999999999,0.0009540233568664271,1100,1100,0,0,0
delay_slow_async,delay_slow_async_t3_1776218171577,200,600,async,delay,,2,157.0,264.0,323.15999999999985,0.0009540225501338807,1100,1100,0,0,0
delay_slow_async,delay_slow_async_t4_1776218193778,200,600,async,delay,,3,158.0,248.0999999999999,328.03999999999996,0.0009540217574687691,1100,1100,0,0,0
delay_slow_async,delay_slow_async_t5_1776218215925,200,600,async,delay,,3,143.5,235.0,289.01,0.0009540209763887787,1100,1100,0,0,0
fd_fast_async_repl,fd_fast_async_repl_t1_1776217858876,50,150,async,crash,102,7,177.0,289.0,382.01,0.0014744256627651335,1700,1700,0,2,491
fd_fast_async_repl,fd_fast_async_repl_t2_1776217869171,50,150,async,crash,151,4,171.0,284.04999999999995,388.03,0.0014744243724742541,1700,1700,0,2,451
fd_fast_async_repl,fd_fast_async_repl_t3_1776217879478,50,150,async,crash,124,9,165.0,244.04999999999995,452.14999999999986,0.0009540385228647917,1100,1100,0,1,269
fd_fast_async_repl,fd_fast_async_repl_t4_1776217889753,50,150,async,crash,156,11,168.0,278.04999999999995,407.03999999999996,0.0009540377533415598,1100,1100,0,1,284
fd_fast_async_repl,fd_fast_async_repl_t5_1776217900102,50,150,async,crash,99,9,167.0,254.0,316.03,0.0009540369598237422,1100,1100,0,1,295
fd_fast_no_repl,fd_fast_no_repl_t1_1776217702934,50,150,none,crash,118,5,154.0,233.04999999999973,307.00999999999976,0.001994836952591458,2300,2300,0,3,0
fd_fast_no_repl,fd_fast_no_repl_t2_1776217713233,50,150,none,crash,104,2,152.0,224.04999999999995,290.01,0.001474443283326141,1700,1700,0,2,0
fd_fast_no_repl,fd_fast_no_repl_t3_1776217723520,50,150,none,crash,149,0,156.0,265.0,421.4499999999996,0.0009540507104579297,1100,1100,0,1,0
fd_fast_no_repl,fd_fast_no_repl_t4_1776217733852,50,150,none,crash,121,4,152.0,219.04999999999995,282.1099999999999,0.0009540498747178566,1100,1100,0,1,0
fd_fast_no_repl,fd_fast_no_repl_t5_1776217744123,50,150,none,crash,105,0,151.0,205.04999999999995,235.0,0.0009540490613207559,1100,1100,0,1,0
fd_fast_sync_repl,fd_fast_sync_repl_t1_1776217807374,50,150,sync,crash,122,3,179.0,419.14999999999986,552.0899999999999,0.0014744320976290807,1700,1700,0,2,443
fd_fast_sync_repl,fd_fast_sync_repl_t2_1776217817658,50,150,sync,crash,125,6,184.5,469.0999999999999,771.5199999999995,0.0014744309313697622,1700,1700,0,2,467
fd_fast_sync_repl,fd_fast_sync_repl_t3_1776217827962,50,150,sync,crash,131,2,179.0,426.0999999999999,593.3099999999997,0.0009540426278371131,1100,1100,0,1,287
fd_fast_sync_repl,fd_fast_sync_repl_t4_1776217838241,50,150,sync,crash,106,2,189.0,457.0,666.0,0.0009540417830092434,1100,1100,0,1,279
fd_fast_sync_repl,fd_fast_sync_repl_t5_1776217848521,50,150,sync,crash,150,2,185.0,416.0999999999999,570.03,0.0009540410258924921,1100,1100,0,1,271
fd_slow_async_repl,fd_slow_async_repl_t1_1776217963387,200,600,async,crash,410,6,166.0,253.04999999999995,353.01,0.0009540321540631209,1100,1100,0,1,263
fd_slow_async_repl,fd_slow_async_repl_t2_1776217973979,200,600,async,crash,425,2,163.0,260.0,319.02,0.0009540313307670457,1100,1100,0,1,256
fd_slow_async_repl,fd_slow_async_repl_t3_1776217984563,200,600,async,crash,421,5,165.5,249.0,312.01,0.0009540305455342235,1100,1100,0,1,278
fd_slow_async_repl,fd_slow_async_repl_t4_1776217995170,200,600,async,crash,420,2,174.0,256.0999999999999,311.02,0.000954029784298159,1100,1100,0,1,290
fd_slow_async_repl,fd_slow_async_repl_t5_1776218005770,200,600,async,crash,457,9,164.0,240.0,290.0,0.0009540289775547423,1100,1100,0,1,279
fd_slow_no_repl,fd_slow_no_repl_t1_1776217754390,200,600,none,crash,417,0,153.0,253.04999999999995,327.0,0.0009540482644742798,1100,1100,0,1,0
fd_slow_no_repl,fd_slow_no_repl_t2_1776217764987,200,600,none,crash,447,7,154.5,257.04999999999995,326.1199999999999,0.000954047455217227,1100,1100,0,1,0
fd_slow_no_repl,fd_slow_no_repl_t3_1776217775626,200,600,none,crash,432,8,152.0,212.0,250.0,0.0009540466385144156,1100,1100,0,1,0
fd_slow_no_repl,fd_slow_no_repl_t4_1776217786209,200,600,none,crash,432,2,158.0,247.0999999999999,373.16999999999985,0.0009540458400170712,1100,1100,0,1,0
fd_slow_no_repl,fd_slow_no_repl_t5_1776217796790,200,600,none,crash,407,5,156.0,252.0,317.1899999999998,0.0009540450373837821,1100,1100,0,1,0
fd_slow_sync_repl,fd_slow_sync_repl_t1_1776217910381,200,600,sync,crash,456,5,185.0,438.0999999999999,572.04,0.0009540361348644909,1100,1100,0,1,263
fd_slow_sync_repl,fd_slow_sync_repl_t2_1776217920979,200,600,sync,crash,425,2,169.0,402.04999999999995,493.03,0.0009540353703097484,1100,1100,0,1,270
fd_slow_sync_repl,fd_slow_sync_repl_t3_1776217931573,200,600,sync,crash,444,7,181.0,422.04999999999995,520.02,0.0009540345627294464,1100,1100,0,1,250
fd_slow_sync_repl,fd_slow_sync_repl_t4_1776217942178,200,600,sync,crash,417,6,175.0,429.04999999999995,600.2899999999997,0.0009540338726465421,1100,1100,0,1,265
fd_slow_sync_repl,fd_slow_sync_repl_t5_1776217952771,200,600,sync,crash,438,7,174.0,421.04999999999995,522.0,0.0009540330046659856,1100,1100,0,1,267
phi_delay_fast_sync,phi_delay_fast_sync_t1_1776219082468,50,150,sync,delay,,6,188.0,437.04999999999995,507.01,1.859242916284489,1200,1200,0,0,0
phi_delay_fast_sync,phi_delay_fast_sync_t2_1776219104661,50,150,sync,delay,,4,186.0,433.14999999999986,510.04999999999995,1.8590758533932783,1200,1200,0,1,0
phi_delay_fast_sync,phi_delay_fast_sync_t3_1776219126823,50,150,sync,delay,,7,199.5,434.0,565.1799999999998,1.8377285674905817,1200,1200,0,0,0
phi_delay_fast_sync,phi_delay_fast_sync_t4_1776219149001,50,150,sync,delay,732,11,168.5,431.0999999999999,530.03,1.8373937182571094,1200,1200,0,0,153
phi_delay_fast_sync,phi_delay_fast_sync_t5_1776219161143,50,150,sync,delay,,0,188.5,437.0,573.0899999999999,1.8665683607330015,1200,1200,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t1_1776219183282,200,600,async,delay,,8,163.0,306.0,396.02,1.8665248107810475,1200,1200,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t2_1776219205487,200,600,async,delay,,6,138.0,252.04999999999995,334.01,1.8664319110085266,1200,1200,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t3_1776219227642,200,600,async,delay,,1,143.0,257.0,332.01,1.8665596505800335,1200,1200,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t4_1776219249825,200,600,async,delay,,0,142.0,252.04999999999995,320.28999999999974,1.8665190042743285,1200,1200,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t5_1776219272036,200,600,async,delay,,8,151.0,263.0,358.16999999999985,1.8664783597388175,1200,1200,0,0,0
phi_fast_async_repl,phi_fast_async_repl_t1_1776219031406,50,150,async,crash,36,11,171.0,277.0,341.0799999999999,1.8592371549953053,1200,1200,0,1,345
phi_fast_async_repl,phi_fast_async_repl_t2_1776219041622,50,150,async,crash,21,5,151.0,251.0,322.01,1.8591709027359251,1200,1200,0,1,347
phi_fast_async_repl,phi_fast_async_repl_t3_1776219051826,50,150,async,crash,35,0,166.0,269.04999999999995,346.1299999999999,1.8590931343690549,1200,1200,0,1,370
phi_fast_async_repl,phi_fast_async_repl_t4_1776219062035,50,150,async,crash,36,10,171.0,275.0,328.0,1.8590960145629187,1200,1200,0,1,326
phi_fast_async_repl,phi_fast_async_repl_t5_1776219072245,50,150,async,crash,42,0,169.0,272.04999999999995,329.03,1.859116176169849,1200,1200,0,1,376
phi_fast_no_repl,phi_fast_no_repl_t1_1776218876252,50,150,none,crash,49,11,154.0,264.04999999999995,345.0799999999999,1.2349499056292448,1800,1800,0,2,0
phi_fast_no_repl,phi_fast_no_repl_t2_1776218886474,50,150,none,crash,75,10,137.0,248.04999999999995,460.3199999999997,1.8596635868571374,1200,1200,0,1,0
phi_fast_no_repl,phi_fast_no_repl_t3_1776218896689,50,150,none,crash,63,11,150.0,240.04999999999995,289.0,1.8595569605541478,1200,1200,0,1,0
phi_fast_no_repl,phi_fast_no_repl_t4_1776218906904,50,150,none,crash,72,2,174.0,301.14999999999986,418.03999999999996,1.859536789385764,1200,1200,0,1,0
phi_fast_no_repl,phi_fast_no_repl_t5_1776218917121,50,150,none,crash,78,8,156.0,265.0,355.0,1.859418652758215,1200,1200,0,1,0
phi_fast_sync_repl,phi_fast_sync_repl_t1_1776218980279,50,150,sync,crash,66,4,180.0,481.1999999999998,680.04,1.8593783168597582,1200,1200,0,1,346
phi_fast_sync_repl,phi_fast_sync_repl_t2_1776218990499,50,150,sync,crash,80,7,186.0,459.04999999999995,678.02,1.8593754357911176,1200,1200,0,1,334
phi_fast_sync_repl,phi_fast_sync_repl_t3_1776219000713,50,150,sync,crash,64,0,184.0,412.14999999999986,526.2099999999998,1.8595281447332739,1200,1200,0,1,348
phi_fast_sync_repl,phi_fast_sync_repl_t4_1776219010931,50,150,sync,crash,98,3,180.0,455.04999999999995,936.2899999999997,1.8592083490849596,1200,1200,0,1,345
phi_fast_sync_repl,phi_fast_sync_repl_t5_1776219021192,50,150,sync,crash,40,2,187.5,425.0999999999999,514.05,1.8593466255957656,1200,1200,0,1,364
phi_slow_no_repl,phi_slow_no_repl_t1_1776218927340,200,600,none,crash,432,10,162.5,277.04999999999995,336.0,1.8594071280372255,1200,1200,0,1,0
